"inc_ang [deg]","Freq [GHz]","mag(S(rx1_p1,tx_p1)) []","ang_deg(S(rx1_p1,tx_p1)) [deg]","mag(S(rx2_p1,tx_p1)) []","ang_deg(S(rx2_p1,tx_p1)) [deg]"
-90,6.288,0.00555765510614809,-140.869311005152,0.000440229528356891,-133.007499120588
-90,6.289,0.00555943042276711,-143.540376993754,0.000440420107279738,-135.700796129514
-90,6.29,0.00556119750895941,-146.211477088181,0.000440609781313892,-138.394120167379
-90,6.291,0.00556295635666135,-148.882611087357,0.000440798549812392,-141.08747105403
-90,6.292,0.0055647069566428,-151.553778826911,0.000440986412119911,-143.780848644881
-90,6.293,0.00556644930147272,-154.224980097138,0.000441173367629693,-146.474252772211
-90,6.294,0.0055681833813132,-156.896214700455,0.00044135941589051,-149.167683268862
-90,6.295,0.00556990918701517,-159.567482466675,0.000441544556067031,-151.861139972119
-90,6.296,0.00557162671096966,-162.238783203713,0.000441728787684324,-154.554622725849
-90,6.297,0.00557333594521635,-164.910116707084,0.000441912110215369,-157.248131376654
-90,6.298,0.00557503688036581,-167.58148281159,0.000442094522908494,-159.941665752533
-90,6.299,0.00557672950856847,-170.252881304803,0.00044227602522914,-162.635225699436
-90,6.3,0.00557841382108743,-172.924312013794,0.000442456616583828,-165.328811058468
-90,6.301,0.00558008980938193,-175.595774746336,0.000442636296557799,-168.022421661194
-90,6.302,0.00558175746494552,-178.267269314772,0.000442815064316622,-170.716057358111
-90,6.303,0.00558341678091141,179.061204467189,0.000442992919374822,-173.409717991126
-90,6.304,0.00558506774815028,176.38964678684,0.000443169861235668,-176.103403402065
-90,6.305,0.005586710358206,173.718057829625,0.000443345889208355,-178.797113432535
-90,6.306,0.00558834460421378,171.046437783252,0.000443521002912871,178.509152073959
-90,6.307,0.00558997047678949,168.374786837158,0.000443695201508521,175.815393272037
-90,6.308,0.00559158796831506,165.703105165289,0.000443868484666993,173.121610319672
-90,6.309,0.00559319707188192,163.031392961684,0.000444040851709262,170.427803371394
-90,6.31,0.00559479777839779,160.359650418058,0.000444212302108302,167.733972580482
-90,6.311,0.00559639008042823,157.687877700114,0.000444382835340325,165.040118102339
-90,6.312,0.00559797396905914,155.016075009549,0.000444552450871291,162.346240095283
-90,6.313,0.00559954943891723,152.344242522609,0.000444721148071632,159.65233871082
-90,6.314,0.00560111648047809,149.672380425897,0.000444888926484038,156.958414101128
-90,6.315,0.00560267508707678,147.000488904495,0.000445055785491226,154.26446641708
-90,6.316,0.00560422524928059,144.328568132578,0.000445221724652385,151.570495814727
-90,6.317,0.00560576696164788,141.656618313625,0.000445386743426521,148.87650244563
-90,6.318,0.00560730021590571,138.984639605046,0.000445550841114804,146.182486469703
-90,6.319,0.00560882500366776,136.312632207594,0.000445714017358286,143.488448008049
-90,6.32,0.00561034131872637,133.640596299728,0.000445876271575491,140.794387256105
-90,6.321,0.00561184915351721,130.968532053805,0.00044603760334265,138.100304326953
-90,6.322,0.00561334849962038,128.296439654136,0.000446198011977583,135.406199399408
-90,6.323,0.00561483935062248,125.624319292994,0.000446357497118923,132.712072593173
-90,6.324,0.00561632170026299,122.952171144901,0.000446516058126407,130.017924089413
-90,6.325,0.00561779553938765,120.279995393804,0.000446673694600212,127.323754019764
-90,6.326,0.00561926086068582,117.607792214304,0.000446830405982478,124.629562539301
-90,6.327,0.00562071765894707,114.93556178516,0.000446986191712035,121.935349785155
-90,6.328,0.0056221659266246,112.263304291869,0.000447141051468801,119.241115907674
-90,6.329,0.00562360565554304,109.59101991593,0.000447294984530568,116.546861071867
-90,6.33,0.00562503683908514,106.918708834461,0.000447447990608955,113.852585406704
-90,6.331,0.00562645947056563,104.246371226366,0.000447600069101184,111.158289081029
-90,6.332,0.00562787354299172,101.574007276775,0.000447751219601607,108.463972208697
-90,6.333,0.00562927905064583,98.9016171511898,0.000447901441455991,105.769634960386
-90,6.334,0.00563067598520547,96.2292010368175,0.00044805073438115,103.075277470705
-90,6.335,0.00563206433939591,93.5567591121288,0.000448199097822762,100.380899900964
-90,6.336,0.00563344410894835,90.884291553087,0.000448346531266165,97.6865023794374
-90,6.337,0.00563481528444595,88.2117985380727,0.000448493034373212,94.9920850578835
-90,6.338,0.00563617786148807,85.5392802451658,0.000448638606461889,92.297648080698
-90,6.339,0.00563753183147703,82.8667368499393,0.000448783247303421,89.6031915916083
-90,6.34,0.00563887719003372,80.1941685319923,0.000448926956281237,86.9087157349545
-90,6.341,0.00564021392908599,77.5215754682442,0.000449069732960788,84.2142206543767
-90,6.342,0.00564154204244782,74.8489578353144,0.000449211576981356,81.5197064949958
-90,6.343,0.00564286152398754,72.1763157948801,0.000449352487781276,78.8251733973417
-90,6.344,0.00564417236728878,69.5036495549966,0.000449492464929255,76.1306215082586
-90,6.345,0.00564547456645487,66.8309592642532,0.000449631508018463,73.4360509549841
-90,6.346,0.00564676811440344,64.1582451055478,0.000449769616656617,70.7414619100263
-90,6.347,0.0056480530049481,61.4855072580957,0.000449906790255668,68.0468544807352
-90,6.348,0.00564932923295168,58.8127458917616,0.000450043028536661,65.3522288254307
-90,6.349,0.00565059679052141,56.1399611832805,0.000450178330964105,62.6575851014976
-90,6.35,0.00565185567413021,53.4671533124931,0.000450312697089902,59.9629234147427
-90,6.351,0.00565310587516848,50.7943224485712,0.00045044612656652,57.2682439307084
-90,6.352,0.00565434738850143,48.121468769349,0.00045057861905531,54.5735467789085
-90,6.353,0.00565558020817713,45.4485924466825,0.000450710173906779,51.8788321056991
-90,6.354,0.00565680432892569,42.7756936506816,0.000450840790802341,49.1841000458578
-90,6.355,0.00565801974458245,40.1027725704341,0.000450970469425162,46.489350751113
-90,6.356,0.00565922644928459,37.4298293564788,0.000451099209242783,43.7945843355954
-90,6.357,0.00566042443678397,34.7568641944487,0.000451227009871527,41.0998009605912
-90,6.358,0.00566161370124939,32.0838772610672,0.000451353871036073,38.4050007600473
-90,6.359,0.00566279423752212,29.4108687197162,0.000451479792075166,35.7101838646911
-90,6.36,0.00566396604016374,26.7378387466466,0.00045160477282011,33.0153504260054
-90,6.361,0.00566512910238741,24.0647875158495,0.000451728812799952,30.3205005582306
-90,6.362,0.0056662834199803,21.3917152010309,0.000451851911550145,27.6256344249582
-90,6.363,0.00566742898715991,18.718621973939,0.000451974068879027,24.930752150968
-90,6.364,0.00566856579832321,16.0455080019397,0.000452095284195898,22.2358538675361
-90,6.365,0.00566969384726657,13.3723734576315,0.000452215557109026,19.5409397194403
-90,6.366,0.00567081313058038,10.6992185231167,0.000452334887377035,16.846009844508
-90,6.367,0.00567192364035197,8.0260433498621,0.000452453274682855,14.1510643779917
-90,6.368,0.00567302537244893,5.35284812369752,0.000452570718433733,11.4561034538261
-90,6.369,0.00567411832192548,2.67963301096286,0.000452687218377691,8.76112720510659
-90,6.37,0.005675202483385,0.00639818159155719,0.000452802774161285,6.06613577020461
-90,6.371,0.00567627785152768,-2.66685619245929,0.000452917385326183,3.37112928555662
-90,6.372,0.00567734442178869,-5.34012994273493,0.000453031051605791,0.676107882509194
-90,6.373,0.00567840218811763,-8.01342289711946,0.000453143772649078,-2.01892830244375
-90,6.374,0.00567945114605272,-10.6867348882733,0.000453255547990089,-4.71397913372428
-90,6.375,0.0056804912906621,-13.3600657428605,0.00045336637740006,-7.40904447952554
-90,6.376,0.00568152261755233,-16.0334152886424,0.0004534762605094,-10.1041242033376
-90,6.377,0.00568254511979453,-18.7067833738761,0.000453585196905346,-12.7992181677001
-90,6.378,0.00568355879484179,-21.3801698062862,0.000453693186233302,-15.4943262542358
-90,6.379,0.00568456363604009,-24.0535744277794,0.000453800228216697,-18.1894483194037
-90,6.38,0.00568555964059322,-26.7269970781166,0.000453906322597071,-20.8845842292501
-90,6.381,0.00568654680157758,-29.4004375663395,0.000454011468831407,-23.5797338509332
