x_coord [mm],y_coord [mm],pow1_mean,pow2_mean,inc_ang_sim_deg,rssd_sim_db,scenario,rssd_guide_interp_db,delta_db
2250,-1250,1.8213312980814239e-06,1.8510718388185664e-06,-29.054604099077146,-0.07034323098156392,A,10.126996681591912,-10.197339912573476
2250,-750,2.138485434059262e-06,2.7462604649093365e-06,-18.43494882292201,-1.0863542837804019,A,10.529141751250947,-11.615496035031349
2250,-250,2.4114953819134312e-06,2.8023089770148024e-06,-6.34019174590991,-0.6522958346402348,A,9.583356919036797,-10.235652753677032
2250,250,2.6555661399877985e-06,2.1125460804159393e-06,6.34019174590991,0.9935093162588515,A,6.901509902408479,-5.908000586149628
2250,750,2.5973955620003453e-06,1.373340810343051e-06,18.43494882292201,2.7675976835632525,A,2.790945594673695,-0.023347911110442432
2250,1250,3.0357040290445075e-06,1.1448116817136652e-06,29.054604099077146,4.2352537469667055,A,-1.6251553460839447,5.8604090930506505
2250,1750,2.8376490284903657e-06,1.1971399127277528e-06,37.874983651098205,3.7481376875398666,A,-5.140458045562703,8.88859573310257
3000,-1750,1.9925409011612226e-06,1.3185628266309222e-06,-30.256437163529263,1.793064171788501,A,10.018541248519883,-8.225477076731382
3000,-1250,1.6293178895718902e-06,2.015161548482777e-06,-22.619864948040426,-0.9230404174711282,A,10.499568623229143,-11.422609040700271
3000,-750,1.95104414138309e-06,1.8056266587595364e-06,-14.036243467926479,0.33639137039780564,A,10.367126963711025,-10.030735593313219
3000,-250,2.0183329346799803e-06,1.9720009909871584e-06,-4.763641690726178,0.1008567812854011,A,9.344065467513653,-9.243208686228252
3000,250,2.271168054892608e-06,1.8248186911077144e-06,4.763641690726178,0.9502955034469878,A,7.329141235953598,-6.37884573250661
3000,750,2.3993615200252043e-06,1.5129017173372397e-06,14.036243467926479,2.0028497367750973,A,4.4436326926643925,-2.4407829558892953
3000,1250,2.492927584865344e-06,9.925720896119484e-07,22.619864948040426,3.9994760420530184,A,1.0961684927846806,2.903307549268338
3000,1750,2.652698998724347e-06,1.5018589791767075e-06,30.256437163529263,2.470588180509317,A,-2.132350005468998,4.602938185978315
3750,-1750,1.0944152192987582e-06,1.6902186371394115e-06,-25.016893478100023,-1.8876076226919025,A,10.40523317235332,-12.292840795045223
3750,-1250,1.7221585158539983e-06,1.5982419626699878e-06,-18.43494882292201,0.32430594429299475,A,10.529141751250947,-10.204835806957952
3750,-750,1.6526953142047988e-06,1.6126819679431286e-06,-11.309932474020213,0.10644065811541026,A,10.160281387247505,-10.053840729132094
3750,-250,2.312370187904969e-06,1.2096493035202259e-06,-3.8140748342903543,2.8139788190344603,A,9.1885657092882,-6.37458689025374
3750,250,2.4861074181610597e-06,1.0895876242212045e-06,3.8140748342903543,3.582577276497233,A,7.575187375737495,-3.9926100992402622
3750,750,2.005967354280508e-06,1.3036519418443866e-06,11.309932474020213,1.8716220502266623,A,5.380585067981628,-3.508963017754966
3750,1250,2.9409098575162502e-06,1.2186970784626325e-06,18.43494882292201,3.8258594303931943,A,2.790945594673695,1.0349138357194994
3750,1750,1.9286728225564703e-06,1.6533312975304224e-06,25.016893478100023,0.668986737554718,A,0.09001726630177777,0.5789694712529403
4500,-1750,8.017387096063879e-07,1.3609618510210703e-06,-21.25050550713324,-2.2981309896966238,A,10.52841964881827,-12.826550638514894
4500,-1250,1.3150724166209832e-06,1.145688268991665e-06,-15.524110996754258,0.5988320236420179,A,10.443270801618599,-9.844438777976581
4500,-750,1.7500986526314416e-06,1.0648991633557187e-06,-9.462322208025617,2.1575404461998176,A,9.976673387273337,-7.819132941073519
4500,-250,1.9622543092074058e-06,9.990955657773943e-07,-3.1798301198642345,2.9314826001453724,A,9.077320611745527,-6.145838011600155
4500,250,2.21691084222357e-06,1.1244174111481547e-06,3.1798301198642345,2.948206655294129,A,7.732337629499107,-4.784130974204978
4500,750,2.9728571783484556e-06,1.285283687175117e-06,9.462322208025617,3.6417504987283564,A,5.975585426145386,-2.33383492741703
4500,1250,2.272955677316467e-06,1.4046905196705459e-06,15.524110996754258,2.090103157005437,A,3.9011952024490912,-1.811092045443654
4500,1750,2.1029345169872725e-06,1.0062867848936392e-06,21.25050550713324,3.201039801202583,A,1.6611365829967728,1.5399032182058103
5250,-1750,5.035263079760632e-07,1.0406366721467574e-06,-18.43494882292201,-3.1527696014264137,A,10.529141751250947,-13.68191135267736
5250,-1250,1.6414206548774336e-06,7.397842352104942e-07,-13.392497753751098,3.461148218123263,A,10.323649833587382,-6.862501615464119
5250,-750,1.837566219182966e-06,8.488526869774402e-07,-8.13010235415598,3.3541067070828845,A,9.82297662400389,-6.468869916921005
5250,-250,1.9425507076158775e-06,9.696948748354682e-07,-2.7263109939062655,3.0173726405798362,A,8.995802723988149,-5.978430083408313
5250,250,2.033471489264211e-06,1.2623795515370134e-06,2.7263109939062655,2.070481365923918,A,7.842658167683692,-5.772176801759774
