inc_ang_deg,rssd_mean_dB,rssd_std_dB,rssd_p10_dB,rssd_p90_dB
-32,-3.94369314544838,0.0523377644921728,-4.02754341590344,-3.88751192596931
-30,-4.20270763509987,0.0530933642616978,-4.28777077478872,-4.14571932320634
-28,-4.47814753980922,0.053859065718992,-4.56443983000894,-4.42034146091876
-26,-4.76981851472179,0.0546336200143915,-4.85735423385187,-4.71118533394917
-24,-5.07827299247814,0.0554157812028507,-5.16706442132372,-5.01880470696581
-22,-5.4031728193555,0.0562043091169796,-5.49323025113708,-5.34286275553412
-20,-5.74284191699548,0.0569979723801086,-5.83417366688501,-5.68168471711425
-18,-6.09872828496787,0.057795551226057,-6.19134071175306,-6.03671989595137
-16,-6.46934622193976,0.0585958401378716,-6.56324374987628,-6.40648387788402
-14,-6.85463489551458,0.0593976508728846,-6.94982004208649,-6.79091710200701
-12,-7.25289389117975,0.0601998144661847,-7.34936729324875,-7.188320399038
-10,-7.66563911116606,0.0610011841594865,-7.76339956968559,-7.60021089429163
-8,-8.0910635165945,0.0618006370770246,-8.19010802317109,-8.02478274755747
-6,-8.52974790701133,0.0625970770216714,-8.63007169498155,-8.46261792409082
-4,-8.9809011839644,0.0633894359158874,-9.08249776892369,-8.91292646497109
-2,-9.44328999441129,0.0641766759001246,-9.54615122429156,-9.37447611922482
0,-9.91495034847777,0.0649577909824366,-10.0190664520661,-9.84530396830322
2,-10.3972002161081,0.0657318084962136,-10.5025598611009,-10.3267290161635
4,-10.8889098646341,0.0664977904066432,-10.9955002039974,-10.8176225243735
6,-11.389434283502,0.0672548345552544,-11.497241023854,-11.3173404387471
8,-11.8979766054514,0.0680020756028345,-12.0069840592241,-11.8250868142762
10,-12.4135511744798,0.0687386857928424,-12.5237423195199,-12.3398768695963
12,-12.9348001008453,0.0694638756883408,-13.0461566457076,-12.8603535460826
14,-13.4601848464131,0.0701768948378557,-13.5726872876652,-13.3849791079964
16,-13.9863797445428,0.0708770315720258,-14.1000074374165,-13.910428636097
18,-14.5140750438432,0.0715636135678596,-14.6288062538902,-14.4373930926255
20,-15.0415110964471,0.0722360076334157,-15.1573230726497,-14.9641134918256
22,-15.5667309481686,0.0728936193928201,-15.6835999783538,-15.4886335152741
24,-16.0875991421551,0.0735358933480114,-16.2055006210824,-16.0088182804427
26,-16.6018376868037,0.074162311809307,-16.7207461701651,-16.5223903526668
28,-17.1070830302028,0.074772395153889,-17.2269722985305,-17.0269866739857
30,-17.6009667348826,0.0753656992332426,-17.7218098528539,-17.5202392798326
32,-18.0812203630952,0.0759418169184005,-18.2029897399825,-17.9998801583813
34,-18.5446497713729,0.07650037473339,-18.6673172105483,-18.4627155559089
36,-18.991338433268,0.0770410334551522,-19.1148751880808,-18.9088292976813
38,-19.4202650581252,0.0775634855304845,-19.5446418858148,-19.3372004209563
40,-19.8309994727367,0.0780674547306729,-19.9561866825673,-19.7473990370279
42,-20.2238548025346,0.0785526940960449,-20.3498223036485,-20.1397385286276
44,-20.5999578111807,0.0790189845097426,-20.7266751573861,-20.5153458872321
46,-20.9612741764965,0.0794661333826767,-21.0887106087325,-20.8761869891977
48,-21.3105867928072,0.0798939728201611,-21.4387112795709,-21.2250449034487
50,-21.6515315836831,0.0803023578596559,-21.780312857022,-21.565555701673
52,-21.9954089073806,0.0806911650811707,-22.1248154978667,-21.9090198689303
54,-22.3424572080596,0.0810602906175026,-22.4724574780719,-22.2556759554103
56,-22.6968117020911,0.0814096486005589,-22.8273738719004,-22.6096592645545
58,-23.0635104479525,0.0817391693536568,-23.1946026245475,-22.9760079241394
60,-23.4476058019685,0.0820487978267362,-23.5791960013767,-23.3597743449801
62,-23.865345432452,0.0823384918195709,-23.9974015997824,-23.7772062372247
64,-24.3117708635731,0.0826082203529082,-24.4442608936589,-24.2233451544642
66,-24.7917049972177,0.0828579621781485,-24.9245967484815,-24.70301401625
68,-25.3172500905525,0.0830877044047864,-25.4505113982076,-25.2283150928958
70,-25.8842794904038,0.0832974405852398,-26.0178781788015,-25.7951217339334
72,-26.4724117411585,0.0834871699230461,-26.6063156314857,-26.3830524829805
74,-27.0895128780603,0.0836568957772938,-27.2236897966632,-26.9999733687118
76,-27.6834893122954,0.0838066241483758,-27.8179070918095,-27.5937907934241
78,-28.2338413920645,0.0839363632911277,-28.3684678797429,-28.1440050963096
80,-28.6568048839243,0.0840461221505309,-28.7916079389631,-28.5668520318789
82,-28.88661633323,0.0841359098215828,-29.0215638282179,-28.7965681351436
84,-28.8460869303211,0.0842057348475932,-28.981146753332,-28.7559645854695
86,-28.53521732153,0.0842556042292784,-28.6703573698782,-28.4450420208235
88,-28.0098611688331,0.0842855235984001,-28.1450493489809,-27.9196540973894
90,-27.3196629263191,0.0842954963307806,-27.4548671506139,-27.2294452651594
