tag_idx,x_m,y_m,range_m,inc_ang_deg,rssd_A_dB,rssd_B_dB,rssd_C_dB,std_across_scenarios_dB,span_across_scenarios_dB
29,0.75,0.25,0.790569415042095,-18.434948822922,3.51812575611276,3.54810669741232,3.42483548835014,0.0642880521352673,0.123271209062182
30,1.5,0.25,1.52069063257455,-9.46232220802562,3.24014344793705,3.2109264283991,3.25927776864697,0.0243502517559786,0.0483513402478764
31,2.25,0.25,2.26384628453435,-6.34019174590991,1.99181814252436,2.04430075252728,-0.517359089501291,1.46405976382628,2.56165984202857
32,3,0.25,3.01039864469807,-4.76364169072618,1.06851107961091,1.11390812936535,-0.0117153700074653,0.63717845968533,1.12562349937281
33,3.75,0.25,3.75832409459323,-3.81407483429035,0.407292829263788,1.23439184080608,0.270503431690052,0.521517813599726,0.963888409116024
34,4.5,0.25,4.50693909432999,-3.17983011986423,-0.0767402466409024,-0.144363908911352,-1.19496936032008,0.627000946956797,1.11822911367918
35,5.25,0.25,5.25594901040716,-2.72631099390627,-0.281267695118167,0.635893169197551,-3.18332887160405,1.99372348968974,3.81922204080161
36,0.75,0.75,1.06066017177982,-45,9.65678095118545,9.74001489734992,9.74283333011763,0.0488890670758209,0.0860523789321874
37,1.5,0.75,1.67705098312484,-26.565051177078,10.7364239446086,10.6937624488353,11.057029715279,0.198566181359521,0.3632672664437
38,2.25,0.75,2.37170824512628,-18.434948822922,7.75827221011127,7.81566092003273,8.12464598219287,0.197059624451529,0.366373772081609
39,3,0.75,3.09232921921325,-14.0362434679265,4.7577797891332,4.755663707626,6.75333155761103,1.15274369638555,1.99766784998503
40,3.75,0.75,3.82426463519459,-11.3099324740202,3.6909178064659,2.25178386768074,4.77556748727612,1.26603417426117,2.52378361959538
41,4.5,0.75,4.56207189772366,-9.46232220802562,2.37299984666373,4.36003661184657,1.63083197288122,1.41112757635004,2.72920463896536
42,5.25,0.75,5.30330085889911,-8.13010235415598,1.41719445055041,3.00057174966176,0.300811925881654,1.35659480064511,2.69975982378011
43,0.75,1.25,1.45773797371133,-59.0362434679265,13.45717005429,13.383870390667,13.0975557252721,0.190031310552756,0.359614329017873
44,1.5,1.25,1.95256241897666,-39.8055710922652,14.1307618596084,13.9762406888772,16.3512701021353,1.32886532808856,2.37502941325814
45,2.25,1.25,2.57390753524675,-29.0546040990771,12.555955015129,12.501126811104,10.0835849734172,1.41186214459702,2.47237004171176
46,3,1.25,3.25,-22.6198649480404,8.40023120123973,9.51609186699112,8.72353876945954,0.574138952613136,1.11586066575139
47,3.75,1.25,3.95284707521047,-18.434948822922,6.06609655934956,6.06717321534955,6.66515794162441,0.345557865819704,0.599061382274847
48,4.5,1.25,4.67038542306735,-15.5241109967543,4.27838665796457,1.82905811266832,6.10133116128848,2.14377602946172,4.27227304862016
49,5.25,1.25,5.39675828623073,-13.3924977537511,4.29477325579492,3.05526166229654,-5.07316177400902,5.08864525640054,9.36793502980394
50,0.75,1.75,1.90394327646598,-66.8014094863518,13.8035155461918,14.1046930052575,13.2084986895323,0.456055035621849,0.896194315725161
51,1.5,1.75,2.30488611432322,-49.3987053549955,15.0483773462528,14.7890053055674,3.28075610193515,6.72041644714209,11.7676212443176
52,2.25,1.75,2.85043856274785,-37.8749836510982,13.433286566472,13.1283956691081,8.32216834805337,2.86694695229376,5.11111821841863
53,3,1.75,3.47311099736245,-30.2564371635293,12.8129128533366,12.5836884090122,10.3460151417105,1.36292026036609,2.46689771162604
54,3.75,1.75,4.13823633931171,-25.0168934781,9.24596626536317,10.8521952343984,8.1877615079417,1.3415771745895,2.6644337264567
55,4.5,1.75,4.82830197895699,-21.2505055071332,5.42918434424789,6.22307846457276,5.73329747532586,0.400549224650379,0.793894120324872
56,5.25,1.75,5.53398590529466,-18.434948822922,3.70431556716174,4.48750220373134,11.1681269327809,4.1018818482016,7.46381136561914
